year,city,country,avg_temp,7日移动平均值
1820,Tianjin,China,10.18,
1821,Tianjin,China,11.51,
1822,Tianjin,China,11.5,
1823,Tianjin,China,10.96,
1824,Tianjin,China,11.96,
1825,Tianjin,China,11.73,
1826,Tianjin,China,11.65,11.35571429
1827,Tianjin,China,12.2,11.64428571
1828,Tianjin,China,11.42,11.63142857
1829,Tianjin,China,11.26,11.59714286
1830,Tianjin,China,11.81,11.71857143
1831,Tianjin,China,10.57,11.52
1832,Tianjin,China,10.69,11.37142857
1833,Tianjin,China,11.14,11.29857143
1834,Tianjin,China,11.52,11.20142857
1835,Tianjin,China,10.79,11.11142857
1836,Tianjin,China,11.17,11.09857143
1837,Tianjin,China,10.93,10.97285714
1838,Tianjin,China,,11.04
1839,Tianjin,China,10.63,11.03
1840,Tianjin,China,11.29,11.055
1841,Tianjin,China,10.15,10.82666667
1842,Tianjin,China,11.31,10.91333333
1843,Tianjin,China,11.45,10.96
1844,Tianjin,China,11.57,11.06666667
1845,Tianjin,China,11.43,11.11857143
1846,Tianjin,China,11.95,11.30714286
1847,Tianjin,China,11.88,11.39142857
1848,Tianjin,China,11.56,11.59285714
1849,Tianjin,China,11.53,11.62428571
1850,Tianjin,China,10.68,11.51428571
1851,Tianjin,China,10.44,11.35285714
1852,Tianjin,China,10.65,11.24142857
1853,Tianjin,China,10.95,11.09857143
1854,Tianjin,China,11.6,11.05857143
1855,Tianjin,China,11.82,11.09571429
1856,Tianjin,China,11.42,11.08
1857,Tianjin,China,11.3,11.16857143
1858,Tianjin,China,11.66,11.34285714
1859,Tianjin,China,11.8,11.50714286
1860,Tianjin,China,10.4,11.42857143
1861,Tianjin,China,10.81,11.31571429
1862,Tianjin,China,10.62,11.14428571
1863,Tianjin,China,11.81,11.2
1864,Tianjin,China,10.97,11.15285714
1865,Tianjin,China,11.3,11.10142857
1866,Tianjin,China,11.56,11.06714286
1867,Tianjin,China,12.01,11.29714286
1868,Tianjin,China,11.66,11.41857143
1869,Tianjin,China,12.12,11.63285714
1870,Tianjin,China,11.42,11.57714286
1871,Tianjin,China,11.55,11.66
1872,Tianjin,China,11.39,11.67285714
1873,Tianjin,China,11.76,11.70142857
1874,Tianjin,China,11.82,11.67428571
1875,Tianjin,China,11.78,11.69142857
1876,Tianjin,China,12.28,11.71428571
